type,NearestCentroid,SGDClassifier,LinearSVC,PassiveAggressiveClassifier,Pipeline
explicit agreement,0.48275862068965564,0.5977011494252885,0.5977011494252885,0.5977011494252885,0.5747126436781612
other,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
other and explicit agreement,0.22222222222222227,0.3333333333333333,0.11111111111111113,0.44444444444444453,0.11111111111111113
positive reference,0.0,0.20000000000000004,0.20000000000000004,0.0,0.0
positive reference and explicit agreement,0.4000000000000001,0.8000000000000002,0.8000000000000002,0.6,0.6
positive reference and other and explicit agreement,0.5,0.5,0.5,0.5,0.5
praise thanking,0.47368421052631576,0.4210526315789472,0.3684210526315788,0.5263157894736843,0.3684210526315788
praise thanking and explicit agreement,0.409090909090909,0.5454545454545451,0.5,0.4545454545454545,0.5454545454545451
praise thanking and positive reference,0.0,0.0,0.5,0.0,0.0
praise thanking and positive reference and explicit agreement,0.0,0.5,0.5,0.5,0.5
